"Município";"UF";"total_obras";"gasto_total_mi";"obras_atrasadas";"perc_atrasada";"gasto_atrasadas_mi";"obras_paralisadas";"perc_paralisada";"gasto_paralisadas_mi"
"Abaetetuba";"PA";2;2,1;1;0,5;1,57;NA;NA;NA
"Abatiá";"PR";1;1,11;0;0;NA;1;1;1,11
"Abelardo Luz";"SC";3;2,6;1;0,33;1,11;NA;NA;NA
"Abreulândia";"TO";3;1,47;0;0;NA;1;0,33;0,93
"Açailândia";"MA";6;5,37;0;0;NA;1;0,17;0,49
"Acará";"PA";2;1,47;0;0;NA;1;0,5;1,37
"Acarape";"CE";1;0,82;0;0;NA;NA;NA;NA
"Acaraú";"CE";1;0,73;1;1;0,73;NA;NA;NA
"Acauã";"PI";1;0,37;0;0;NA;NA;NA;NA
"Acopiara";"CE";3;2,33;0;0;NA;1;0,33;0,86
"Acrelândia";"AC";1;0,2;0;0;NA;NA;NA;NA
"Acreúna";"GO";2;2,76;1;0,5;0,43;NA;NA;NA
"Adrianópolis";"PR";1;0,59;1;1;0,59;NA;NA;NA
"Afonso Cláudio";"ES";1;0,7;1;1;0,7;NA;NA;NA
"Afonso Cunha";"MA";6;1,47;5;0,83;1,33;1;0,17;0,14
"Afrânio";"PE";5;3,91;0;0;NA;1;0,2;0,86
"Agrestina";"PE";1;0,85;1;1;0,85;NA;NA;NA
"Agricolândia";"PI";1;1,88;0;0;NA;NA;NA;NA
"Água Boa";"MG";1;0,68;1;1;0,68;NA;NA;NA
"Água Branca";"AL";1;1,59;1;1;1,59;NA;NA;NA
"Água Branca";"PI";1;0,53;0;0;NA;NA;NA;NA
"Água Doce do Maranhão";"MA";1;0,79;0;0;NA;1;1;0,79
"Aguanil";"MG";1;0,89;1;1;0,89;NA;NA;NA
"Águas Belas";"PE";4;0,82;0;0;NA;3;0,75;0,66
"Águas Formosas";"MG";1;1,5;0;0;NA;1;1;1,5
"Águas Lindas de Goiás";"GO";7;4,69;0;0;NA;NA;NA;NA
"Águas Vermelhas";"MG";1;1,71;0;0;NA;NA;NA;NA
"Agudo";"RS";2;2,02;1;0,5;0,91;NA;NA;NA
"Águia Branca";"ES";1;1,11;1;1;1,11;NA;NA;NA
"Aimorés";"MG";1;1,52;1;1;1,52;NA;NA;NA
"Aiuaba";"CE";1;0,5;0;0;NA;NA;NA;NA
"Alagoa Grande";"PB";2;2,1;0;0;NA;1;0,5;1,81
"Alagoa Nova";"PB";1;0,92;0;0;NA;NA;NA;NA
"Alagoinha";"PB";1;0,28;0;0;NA;NA;NA;NA
"Alagoinha";"PE";2;1,18;0;0;NA;NA;NA;NA
"Alagoinhas";"BA";5;2,84;0;0;NA;5;1;2,84
"Alambari";"SP";1;0,65;1;1;0,65;NA;NA;NA
"Alcântara";"MA";1;0,5;0;0;NA;1;1;0,5
"Alcantil";"PB";1;1,78;1;1;1,78;NA;NA;NA
"Alcobaça";"BA";1;1,53;0;0;NA;1;1;1,53
"Alecrim";"RS";1;0,42;0;0;NA;NA;NA;NA
"Alegrete";"RS";1;0,45;0;0;NA;1;1;0,45
"Além Paraíba";"MG";1;0,81;0;0;NA;NA;NA;NA
"Alexandria";"RN";1;0,52;0;0;NA;NA;NA;NA
"Alexânia";"GO";1;0,67;0;0;NA;NA;NA;NA
"Alfenas";"MG";1;0,87;0;0;NA;NA;NA;NA
"Aliança";"PE";1;0,16;0;0;NA;NA;NA;NA
"Aliança do Tocantins";"TO";1;1,45;0;0;NA;1;1;1,45
"Almeirim";"PA";3;1,86;0;0;NA;NA;NA;NA
"Almenara";"MG";1;1,71;1;1;1,71;NA;NA;NA
"Almirante Tamandaré";"PR";3;2,65;2;0,67;2,19;NA;NA;NA
"Alta Floresta";"MT";2;1,76;1;0,5;1,4;NA;NA;NA
"Alta Floresta D'Oeste";"RO";2;0,9;1;0,5;0,53;NA;NA;NA
"Altinho";"PE";1;1,71;0;0;NA;NA;NA;NA
"Alto Alegre do Maranhão";"MA";1;1,84;1;1;1,84;NA;NA;NA
"Alto Alegre do Pindaré";"MA";1;0,88;0;0;NA;1;1;0,88
"Alto Alegre dos Parecis";"RO";2;3,12;0;0;NA;1;0,5;0,53
"Alto Araguaia";"MT";1;1,07;0;0;NA;1;1;1,07
"Alto Caparaó";"MG";1;1,49;0;0;NA;1;1;1,49
"Alto do Rodrigues";"RN";1;0,85;1;1;0,85;NA;NA;NA
"Alto Longá";"PI";1;2,12;0;0;NA;1;1;2,12
"Alto Paraguai";"MT";3;2,5;0;0;NA;3;1;2,5
"Alto Paraíso";"RO";1;0,5;0;0;NA;NA;NA;NA
"Alto Parnaíba";"MA";1;0,88;0;0;NA;1;1;0,88
"Alto Santo";"CE";3;2,9;2;0,67;2,03;1;0,33;0,87
"Alto Taquari";"MT";1;0,56;0;0;NA;NA;NA;NA
"Altônia";"PR";1;1,31;0;0;NA;1;1;1,31
"Altos";"PI";1;1,81;0;0;NA;1;1;1,81
"Alvarães";"AM";1;0,89;0;0;NA;1;1;0,89
"Álvaro de Carvalho";"SP";1;0,88;0;0;NA;NA;NA;NA
"Alvinlândia";"SP";1;1,84;0;0;NA;NA;NA;NA
"Alvorada";"RS";14;6,55;0;0;NA;10;0,71;3,92
"Alvorada do Gurguéia";"PI";1;0,63;0;0;NA;NA;NA;NA
"Amajari";"RR";1;0,4;0;0;NA;1;1;0,4
"Amambaí";"MS";4;4,2;0;0;NA;3;0,75;2,83
"Amaraji";"PE";1;0,69;0;0;NA;NA;NA;NA
"Amarante do Maranhão";"MA";5;3,18;0;0;NA;NA;NA;NA
"Amargosa";"BA";1;1,7;0;0;NA;1;1;1,7
"Americana";"SP";2;2,29;0;0;NA;2;1;2,29
"Américo Brasiliense";"SP";1;1,23;0;0;NA;NA;NA;NA
"Amontada";"CE";9;11,38;0;0;NA;NA;NA;NA
