"ID";"Nome";"Logradouro";"Município";"UF";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1520;"830115 - Escola de Educação Infantil - Lages/SC";"Avenida Maria de Souza Ramos";"Lages";"SC";96,77;"atrasada";1441502,81120303;"(85175271000130) ESTACA ENGENHARIA LTDA"
1592;"710144 - Escola de Educação Infantil - Bom Jesus do Norte/ES";"Rua Lúcio Fraga";"Bom Jesus do Norte";"ES";99,17;"atrasada";1035976,61719947;"(07052120000181) SANTOS E PEDROSA LTDA"
1618;"830274 - Escola de Educação Infantil - Currais Novos/RN";"Praça Desembargador Tomaz Salustino";"Currais Novos";"RN";68,9;"atrasada";1105123,31419956;NA
1673;"700089 - Escola de Educação Infantil - Tatuí/SP";"Avenida Cônego João Clímaco";"Tatuí";"SP";99,99;"atrasada";1466396,95448043;"(05592745000100) CASAGRANDE PRESTADORA DE SERVICOS E CONSTRUCOES LTDA"
1707;"830058 - Escola de Educação Infantil - Santiago/RS";"RUA LICÉRIA GENRO";"Santiago";"RS";99,56;"atrasada";1493024,39760085;"(11550466000187) ESPINDOLA CONSTRUTORA LTDA"
1726;"830397 - Esc de Educação Inf - Santo Antônio do Sudoeste/PR";"Rua Jacarezinho";"Santo Antônio do Sudoeste";"PR";97,07;"atrasada";1507009,30114619;"(06099712000196) PREMACOL MAT. PARA CONSTUÇÃO E PRE-MOLDADOS LTDA"
1876;"710179 - Escola de Educação Infantil - Bataiporã/MS";"RUA FRANCISCO BARTTIMAM ESQ. C/ A RUA VLADIMIR KUBICS/";"Batayporã";"MS";70;"atrasada";1085455,43761508;"(11800775000168) PROSIL - ADMINISTRACAO E CONSTRUTORA LTDA-ME"
1935;"830314 - Escola de Educação Infantil - Colina/SP";"Rua Ernesto Henrique Paro";"Colina";"SP";99,99;"atrasada";1507009,30114619;"(00624884000155) CONSTRUMAT COLINA ENGENHARIA E COMERCIO LTDA"
1943;"830389 - Esc. de Educ. Infantil - Tipo B - Quinta do Sol/PR";"Rua Lira";"Quinta do Sol";"PR";96,86;"atrasada";1507009,30114619;"(05011773000197) G.S. CONSTRUÇÃO CIVIL & ACESSORIA TECNICA LTDA"
1955;"710273 - Escola de Educação Infantil - Bataguassu/MS";"RUA SAO BENEDITO";"Bataguassu";"MS";95,73;"atrasada";1105123,31419956;"(04774233000100) CONSTRUTORA KF LTDA"
1971;"830222 - Escola de Educação Infantil - Maracaju/MS";"Rua Guilhermino Pereira dos Santos";"Maracaju";"MS";99,98;"atrasada";1491712,17321769;"(24641425000148) G M B ENGENHARIA LTDA"
1980;"710297 - Escola de Educação Infantil - Tipo B - Esteio/RS";"Rua Marechal Floriano";"Esteio";"RS";99,05;"atrasada";1437730,78817435;"(01890933000164) HARMONIA CONSTRUCOES LTDA"
2007;"710294 - Escola de Educação Infantil - Tipo B Barra Funda/RS";"Avenida Vinte e Quatro de Março";"Barra Funda";"RS";99,99;"atrasada";1105123,31419956;"(07959756000101) GTS ENGENHARIA LTDA"
2018;"830073 - Escola de Educação Infantil - Mandaguari/PR";"RUA SEBASTIÃO FERNANDES DE SOUZA";"Mandaguari";"PR";95,06;"atrasada";1473487,14830265;"(04505850000100) H MARQUES FERNANDES & CIA LTDA - ME"
2027;"830435 - Escola de Educação Infantil - Barra de Santana/PB";"Rua José Bernardo de Moura";"Barra de Santana";"PB";97,1;"atrasada";1376454,70589952;"(07942236000196) FALCONI CONSTRUCOES E SERVICOS LTDA"
2049;"830445 - Escola de Educação Infantil - Tipo B - Tabaporã/MT";"Rua wilson geovedi";"Tabaporã";"MT";97,68;"atrasada";1492415,10580877;"(04292274000152) Construtora Juruena Ltda"
2089;"710259 - Escola de Educação Infantil - Salete/SC";"Rua Pedro Luekmann";"Salete";"SC";98,75;"atrasada";1105123,31419956;"(05103251000115) GRANZA E LUIZ LTDA"
2098;"710072 - Escola de Educação Infantil - Abelardo Luz/SC";"Rua Francisco Rufino Orige esquina com Avenida Capitão Pedro Fernandes";"Abelardo Luz";"SC";99,65;"atrasada";1105123,31419956;"(81546988000150) ENGEDIX SOLUÇÕES DE ENGENHARIA LTDA"
