"ID";"Nome";"Logradouro";"Município";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
14331;"657727 - Escola de Educação Infantil - Piraí/RJ";"Av. do Sol";"Piraí";92,07;"atrasada";NA;"(10304793000196) RODRIGUES E FERREIRA ENGENHARIA LTDA ME"
19839;"construção de creche modelo B-FNDE";"Rua Almir Rego";"Araruama";67,22;"atrasada";1002699,88283886;"(00218105000111) JESBAN SERVICOS DE CONSTRUCOES LTDA"
19849;"Parque Prazeres";"Rua Antônio Cordeiro dos Santos";"Campos dos Goytacazes";40,55;"atrasada";1785431,29997382;"(07735937000154) FOCAM X EMPREENDIMENTOS E SERVICOS LTDA.ME"
24335;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Rua Dr. Porciúncula";"Cachoeiras de Macacu";95,8;"atrasada";1828186,45113685;"(10805355000101) PJ MATERIAIS DE CONSTRUCAO E SERVICOS LTDA"
24495;"PAC 2 - CRECHE/PRÉ-ESCOLA  002";"Rua Vereador José Cardoso Cruz";"Araruama";54,04;"atrasada";994465,175398791;"(02943247000177) ALPHA TERRAPLANAGEM E CONSTRUCAO LTDA"
24496;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Rua Ana Nery";"Araruama";7,15;"atrasada";390773,119128343;"(02943247000177) ALPHA TERRAPLANAGEM E CONSTRUCAO LTDA"
24513;"PAC 2 - CRECHE/PRÉ-ESCOLA  005";"AV PREFEITO GILBERTO ANTUNES";"Itaboraí";67,07;"atrasada";1327465,49767627;"(03132777000106) DIGITALMAQ COMERCIO E SERVICOS LTDA"
1001917;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Rua A";"Paraty";11,87;"atrasada";248867,814486789;"(10802134000180) ARCANTE TOPOGRAFIA E PROJETOS LIMITADA"
1017178;"Construção de Creche Bandeirantes";"Rua 35";"Tanguá";14,5;"atrasada";323504,7529374;"(10672890000131) JAG COMERCIO E DISTRIBUIDORA EM GERAL LTDA"
1561;"710180 - Escola de Educação Infantil - Rio das Flores/RJ";"Rua Aniceto de Medeiros Corrêa";"Rio das Flores";98,79;"paralisada";1087300,71185903;"(08725042000100) MACHADO & RAPOSO CONSTRUCOES TDA"
1635;"830117 - Escola de Educação Infantil - Belford Roxo/RJ";"Rua José Bonifácio, esquina com Angela Martins";"Belford Roxo";4,93;"paralisada";1105123,31419956;"(03356046000136) CML CONSTRUCOES LTDA"
14120;"703028/2010 - Escola de Educação Infantil - Mesquita/RJ";"Rua Cosmorama";"Mesquita";86,27;"paralisada";1386316,5742707;"(03161901000153) URBANIZADORA AGAELLES LTDA"
19368;"Pre Escola Colinas do Pero";"Rua 23 - esquina com Rua 07";"Cabo Frio";58,49;"paralisada";903043,53409142;"(06329545000122) ERCON CONSTRUTORA DE CASIMIRO DE ABREU LTDA"
19397;"Pre Escola Samburá";"Rua Torre";"Cabo Frio";47,44;"paralisada";1015797,52735612;"(13479572000147) CONSTRUTEC ENGENHARIA E COMERCIO LTDA - ME"
19408;"Pre Escola Caminho de Búzios";"Rua C - esquina com Ruas 03 e 04";"Cabo Frio";60,21;"paralisada";418522,699254291;"(13479572000147) CONSTRUTEC ENGENHARIA E COMERCIO LTDA - ME"
19580;"CRECHE SANTA LUZIA";"Rua Afrânio Peixoto";"São Gonçalo";0;"paralisada";NA;NA
19621;"CRECHE COLUBANDÊ B";"Rua Augusto Rush";"São Gonçalo";0;"paralisada";NA;NA
19835;"Parque jardim Ceasa";"Rua Nova Aurora";"Campos dos Goytacazes";68,23;"paralisada";981734,198792496;"(07162396000112) RABI CONSTRUTORA LTDA"
19864;"Creche Municipal Amélia Maria da Conceição Ulrich.";"Rua Walter Moreira";"Guapimirim";46,41;"paralisada";969113,281262605;NA
19876;"SANTA ROSA";"Estrada Santa Rosa";"Campos dos Goytacazes";50,99;"paralisada";376356,305111895;"(07162396000112) RABI CONSTRUTORA LTDA"
20201;"CRECHE RUI SANGLARD";"Rua Isaías Medeiros Lopes";"Nova Friburgo";11,95;"paralisada";421740,72537787;"(35845924000173) J. M. CARDOSO COMERCIO E SERVICOS DE MANUTENCAO LTDA ME"
24517;"SÁVIO GAMA";"Avenida Sávio Cota de Almeida Gama";"Volta Redonda";35,31;"paralisada";420840,136905287;"(08464226000155) SERVALE SERVICOS DE ARQUITETURA E CONSTRUCOES LTDA."
24518;"Creche Boa Vista";"Rua Wilson Teixeira da Rocha";"Itaperuna";0;"paralisada";389276,279183259;NA
24530;"CRECHE GALO BRANCO";"Rua Doutor Egílio Justi";"São Gonçalo";0;"paralisada";183218,046332862;NA
25700;"Pré Escola Barreto";"Rua 12, s / nº";"Macaé";9,34;"paralisada";856160,051960512;"(05057027000134) IN.BRA CONSTRUTORA LTDA"
25723;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Rua 7";"Rio Bonito";28,23;"paralisada";451938,503315452;"(09298873000105) FLETOR 2000 CONSTRUCOES LTDA"
25745;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"ESTRADA ALTO DO IPIRANGA";"Campos dos Goytacazes";52,93;"paralisada";884316,99836492;"(02995339000109) CONSTRUTORA R. M. R. B. LTDA."
1001279;"Creche Proinfância 2015 - bairro Caioaba";"Rua Urucaina";"Nova Iguaçu";0;"paralisada";489496,44228718;NA
1001280;"Creche Proinfância 2015 - bairro Jardim Nova Era";"Rua Artur Moura";"Nova Iguaçu";0;"paralisada";634559,563466193;NA
1001282;"Creche Proinfância 2015 - bairro Carmari";"Estrada da Guarita";"Nova Iguaçu";0;"paralisada";506049,477297464;NA
1001287;"Creche Proinfância 2015 - bairro Cabuçu / Rua Paissandu";"Rua Humaitá";"Nova Iguaçu";0;"paralisada";489496,466905293;NA
1001288;"Creche Proinfância 2015 - bairro Jardim Corumbá";"Rua Chevet";"Nova Iguaçu";0;"paralisada";398133,784918836;NA
1001289;"Creche Proinfância 2015 - bairro Jardim Pernambuco";"Rua Jaboatão";"Nova Iguaçu";0;"paralisada";628405,035043328;NA
1001916;"PAC 2 - CRECHE/PRÉ-ESCOLA  002";"Rua José Bonifacio";"Paraty";0;"paralisada";248867,814486789;NA
1001918;"PAC2 - CRECHE/PRÉ-ESCOLA - PARQUE MAIRA - Pinheiral - RJ";"Rua Ana Torres";"Pinheiral";21,24;"paralisada";837451,006952855;NA
1001919;"PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Rio das Ostras - RJ";"rua 56 - qd 103";"Rio das Ostras";0;"paralisada";423044,27736176;NA
1003710;"PAC 2 - CRECHE/PRÉ-ESCOLA  010 - Belford Roxo - RJ";"Rua Joinville";"Belford Roxo";0;"paralisada";425733,163509306;NA
1004319;"Sitio Quissamã - Quissamã - RJ";"Rua Manoel Almeida";"Quissamã";9,38;"paralisada";843044,451885429;NA
1004965;"Santa Rita - Vassouras - RJ";"Av. Marechal Paulo Torres";"Vassouras";7,62;"paralisada";837740,614791216;NA
1005161;"Creche Monte Alegre - Cabo Frio - RJ";"Rua Dezesseis";"Cabo Frio";0;"paralisada";420342,76497445;NA
1005288;"CEI MEIO DA SERRA - Petrópolis - RJ";"Estrada Velha da estrela";"Petrópolis";0;"paralisada";244218,779513419;NA
1005429;"guaraci";"Rua Guaraci";"Japeri";0;"paralisada";415356,979774756;NA
1005560;"Creche do Bairro Inema";"Estrada do Inema";"Paraíba do Sul";0;"paralisada";243391,570601831;NA
1005599;"Mucajá 1";"Rua Baependi";"Japeri";0;"paralisada";409098,466902262;NA
1005627;"CrecheTipo B - Iguabinha";"Rua Papoulas";"Araruama";1,44;"paralisada";846019,495407699;NA
1005648;"PAC 2 - Creche/pré-escola - Rio Bonito - RJ";"Rua 29";"Rio Bonito";9,65;"paralisada";489038,475088934;"(81424962000170) MVC COMPONENTES PLASTICOS LTDA"
1005649;"Âncora - Rio das Ostras - RJ";"Rua 59";"Rio das Ostras";1,51;"paralisada";421353,267232871;NA
1006095;"CRECHE PADRE ANTONIO";"RUA PADRE ANTONIO CARVALHO";"Cachoeiras de Macacu";0;"paralisada";413900,192263185;NA
1006096;"TERRENO PÚBLICO - Cordeiro - RJ";"Rua Vereador Julio Silveira do Amaral";"Cordeiro";0;"paralisada";247934,868671892;NA
1009717;"Parque Imperial - Campos dos Goytacazes - RJ";"Antonio Silva Neto";"Campos dos Goytacazes";0;"paralisada";247813,341532085;NA
