UF	Município	ID	Nº Processo	Vinculada	Termo/Nº Convênio	Ano Termo/Convênio	Programa	Fonte	Esfera	Tipologia	Situação da Obra	% Executado (Informado pelo Municípo	Última Vistoria Instituição	% Executado Empresa	Última Vistoria Empresa	Empresa realizadora da Supervisão	Restrições	Inconformidades
SP	Itararé	1367	23400000409200701	NÃO	830053	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	18/08/2014	99.42%	02/04/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
CE	São João do Jaguaribe	1370	23400000750200830	NÃO	700022	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	36.97%	17/03/2015	31.87%	14/10/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
CE	Senador Sá	1371	23400005296200722	NÃO	830057	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	23/07/2014	81.74%	26/03/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PA	Itaituba	1375	23400004182200846	SIM	700027	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	13/11/2014	90.71%	20/10/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
RN	Açu	1379	23400002904200747	NÃO	830014	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.07%	05/08/2014	95.32%	18/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PI	Novo Oriente do Piauí	1380	23400003159200834	NÃO	700037	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.98%	18/05/2016	33.56%	17/09/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PI	Oeiras	1381	23400005292200744	NÃO	700080	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Execução	72.30%	18/07/2016	34.43%	02/04/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
MA	Pirapemas	1386	23400000412200717	NÃO	830030	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	36.99%	16/04/2012	93.90%	14/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MA	Presidente Dutra	1387	23400004654200780	NÃO	830273	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	27/08/2014	86.25%	13/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
SP	Caconde	1393	23400004689200719	NÃO	830352	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	28/02/2011	100.01%	19/06/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	NÃO
PA	Goianésia do Pará	1396	23400003193200817	SIM	700130	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Execução	70.01%	09/08/2016	80.60%	26/09/2015	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
PI	Colônia do Gurguéia	1397	23400000990200834	NÃO	700074	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	26/11/2015	83.54%	04/12/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Porteirinha	1400	23400005144200720	NÃO	830143	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	20/11/2009	88.08%	22/01/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
MG	Poté	1401	23400004615200782	NÃO	830123	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	92.10%	23/12/2014	84.50%	19/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
RN	Fernando Pedroza	1408	23400002952200735	NÃO	710117	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	01/04/2013	95.01%	24/03/2015	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
CE	Jaguaribara	1409	23400004199200801	NÃO	700031	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	95.19%	26/06/2015	96.25%	20/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
MG	Sacramento	1413	23400000395200718	SIM	710274	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	05/01/2016	57.47%	19/02/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	SIM
RN	Jandaíra	1415	23400003126200894	NÃO	700021	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	83.35%	15/04/2015	75.66%	20/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
SP	Anhumas	1418	23400004450200749	NÃO	710232	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	27/04/2012	99.46%	15/03/2016	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
PE	Pesqueira	1419	23400002962200771	NÃO	830004	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Inacabada	87.34%	08/07/2014	84.05%	26/11/2013	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	SIM	SIM
MG	Arceburgo	1421	23400007504200728	NÃO	830295	2007	PROINFÂNCIA	EMENDAS	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	24/03/2010	91.91%	17/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
RN	Lagoa de Pedras	1428	23400000963200861	NÃO	700013	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	03/09/2014	91.05%	18/03/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
RN	Macaíba	1430	23400004698200718	SIM	830096	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	25/03/2015	73.56%	20/03/2014	DERVISH ENGENHARIA & CONSULTORIA LTDA.	NÃO	NÃO
AL	Ouro Branco	1431	23400003326200847	NÃO	700034	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	100.00%	02/08/2015	90.06%	11/04/2014	CONCREMAT ENGENHARIA E TECNOLOGIA S/A	NÃO	SIM
TO	Formoso do Araguaia	1432	23400002832200738	NÃO	830103	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	89.31%	23/11/2015	79.28%	20/11/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
PI	Curralinhos	1434	23400000226200788	NÃO	710278	2008	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	96.54%	03/06/2014	94.25%	19/09/2013	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
RN	Lucrécia	1435	23400000929200714	NÃO	830008	2007	PROINFÂNCIA	CONVENIO	Municipal	Escola de Educação Infantil Tipo B	Concluída	99.24%	03/11/2015	93.26%	16/05/2016	DERVISH ENGENHARIA & CONSULTORIA LTDA.	SIM	SIM
