UF;Município;ID;num_processo;Vinculada;Termo/N_Convênio;Ano_Termo/Convênio;Programa;Fonte;Esfera;Tipologia;Situação_da_Obra;perc_informado_munic;Última_Vistoria_Instituição;perc_executado_empresa;Última_Vistoria_Empresa;Empresa;Restrições;Inconformidades
SP;Itararé;1367;2,34E+16;NÃO;830053;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;18/08/2014;99.42%;02/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
CE;São João do Jaguaribe;1370;2,34E+16;NÃO;700022;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;36.97%;17/03/2015;31.87%;14/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
CE;Senador Sá;1371;2,34E+16;NÃO;830057;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;23/07/2014;81.74%;26/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PA;Itaituba;1375;2,34E+16;SIM;700027;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;13/11/2014;90.71%;20/out;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
RN;Açu;1379;2,34E+16;NÃO;830014;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.07%;05/08/2014;95.32%;18/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PI;Novo Oriente do Piauí;1380;2,34E+16;NÃO;700037;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.98%;18/05/2016;33.56%;17/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PI;Oeiras;1381;2,34E+16;NÃO;700080;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Execução;72.30%;18/07/2016;34.43%;02/abr;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
MA;Pirapemas;1386;2,34E+16;NÃO;830030;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;36.99%;16/04/2012;93.90%;14/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Presidente Dutra;1387;2,34E+16;NÃO;830273;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;27/08/2014;86.25%;13/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SP;Caconde;1393;2,34E+16;NÃO;830352;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;28/02/2011;100.01%;19/jun;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
PA;Goianésia do Pará;1396;2,34E+16;SIM;700130;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Execução;70.01%;09/08/2016;80.60%;26/set;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
PI;Colônia do Gurguéia;1397;2,34E+16;NÃO;700074;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;26/11/2015;83.54%;04/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Porteirinha;1400;2,34E+16;NÃO;830143;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;20/11/2009;88.08%;22/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
MG;Poté;1401;2,34E+16;NÃO;830123;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;92.10%;23/12/2014;84.50%;19/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
